"TIME","GEO","SEX","AGE","Value","Flag and Footnotes"
"2001","European Union (27 countries)","Total","From 15 to 64 years","17.1",""
"2002","European Union (27 countries)","Total","From 15 to 64 years","17.4",""
"2003","European Union (27 countries)","Total","From 15 to 64 years","18.1",""
"2004","European Union (27 countries)","Total","From 15 to 64 years","19.1",""
"2005","European Union (27 countries)","Total","From 15 to 64 years","19.6",""
"2006","European Union (27 countries)","Total","From 15 to 64 years","20.1",""
"2007","European Union (27 countries)","Total","From 15 to 64 years","20.6",""
"2008","European Union (27 countries)","Total","From 15 to 64 years","21.2",""
"2009","European Union (27 countries)","Total","From 15 to 64 years","22.1",""
"2010","European Union (27 countries)","Total","From 15 to 64 years","22.7",""
"2001","European Union (25 countries)","Total","From 15 to 64 years","17.6",""
"2002","European Union (25 countries)","Total","From 15 to 64 years","17.9",""
"2003","European Union (25 countries)","Total","From 15 to 64 years","18.6",""
"2004","European Union (25 countries)","Total","From 15 to 64 years","19.6",""
"2005","European Union (25 countries)","Total","From 15 to 64 years","20.2",""
"2006","European Union (25 countries)","Total","From 15 to 64 years","20.6",""
"2007","European Union (25 countries)","Total","From 15 to 64 years","21.1",""
"2008","European Union (25 countries)","Total","From 15 to 64 years","21.8",""
"2009","European Union (25 countries)","Total","From 15 to 64 years","22.6",""
"2010","European Union (25 countries)","Total","From 15 to 64 years","23.3",""
"2001","European Union (15 countries)","Total","From 15 to 64 years","19.0",""
"2002","European Union (15 countries)","Total","From 15 to 64 years","19.3",""
"2003","European Union (15 countries)","Total","From 15 to 64 years","19.9",""
"2004","European Union (15 countries)","Total","From 15 to 64 years","20.9",""
"2005","European Union (15 countries)","Total","From 15 to 64 years","21.4",""
"2006","European Union (15 countries)","Total","From 15 to 64 years","21.7",""
"2007","European Union (15 countries)","Total","From 15 to 64 years","22.2",""
"2008","European Union (15 countries)","Total","From 15 to 64 years","22.8",""
"2009","European Union (15 countries)","Total","From 15 to 64 years","23.6",""
"2010","European Union (15 countries)","Total","From 15 to 64 years","24.2",""
"2001","European Community (12 countries)","Total","From 15 to 64 years","18.9",""
"2002","European Community (12 countries)","Total","From 15 to 64 years","19.2",""
"2003","European Community (12 countries)","Total","From 15 to 64 years","19.9",""
"2004","European Community (12 countries)","Total","From 15 to 64 years","20.8",""
"2005","European Community (12 countries)","Total","From 15 to 64 years","21.3",""
"2006","European Community (12 countries)","Total","From 15 to 64 years","21.7",""
"2007","European Community (12 countries)","Total","From 15 to 64 years","22.2",""
"2008","European Community (12 countries)","Total","From 15 to 64 years","22.8",""
"2009","European Community (12 countries)","Total","From 15 to 64 years","23.6",""
"2010","European Community (12 countries)","Total","From 15 to 64 years","24.2",""
"2001","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","17.6",""
"2002","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","17.8",""
"2003","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","18.7",""
"2004","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","19.7",""
"2005","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","20.2",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years",":",""
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17)","Total","From 15 to 64 years",":",""
"2001","Euro area (17 countries)","Total","From 15 to 64 years","17.5",""
"2002","Euro area (17 countries)","Total","From 15 to 64 years","17.6",""
"2003","Euro area (17 countries)","Total","From 15 to 64 years","18.5",""
"2004","Euro area (17 countries)","Total","From 15 to 64 years","19.5",""
"2005","Euro area (17 countries)","Total","From 15 to 64 years","20.0",""
"2006","Euro area (17 countries)","Total","From 15 to 64 years","20.3",""
"2007","Euro area (17 countries)","Total","From 15 to 64 years","20.7",""
"2008","Euro area (17 countries)","Total","From 15 to 64 years","21.4",""
"2009","Euro area (17 countries)","Total","From 15 to 64 years","22.1",""
"2010","Euro area (17 countries)","Total","From 15 to 64 years","22.5",""
"2001","Euro area (16 countries)","Total","From 15 to 64 years","17.4",""
"2002","Euro area (16 countries)","Total","From 15 to 64 years","17.6",""
"2003","Euro area (16 countries)","Total","From 15 to 64 years","18.5",""
"2004","Euro area (16 countries)","Total","From 15 to 64 years","19.5",""
"2005","Euro area (16 countries)","Total","From 15 to 64 years","20.0",""
"2006","Euro area (16 countries)","Total","From 15 to 64 years","20.3",""
"2007","Euro area (16 countries)","Total","From 15 to 64 years","20.7",""
"2008","Euro area (16 countries)","Total","From 15 to 64 years","21.4",""
"2009","Euro area (16 countries)","Total","From 15 to 64 years","22.0",""
"2010","Euro area (16 countries)","Total","From 15 to 64 years","22.5",""
"2001","Euro area (15 countries)","Total","From 15 to 64 years","17.6",""
"2002","Euro area (15 countries)","Total","From 15 to 64 years","17.8",""
"2003","Euro area (15 countries)","Total","From 15 to 64 years","18.6",""
"2004","Euro area (15 countries)","Total","From 15 to 64 years","19.6",""
"2005","Euro area (15 countries)","Total","From 15 to 64 years","20.1",""
"2006","Euro area (15 countries)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (15 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (15 countries)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (15 countries)","Total","From 15 to 64 years","22.2",""
"2010","Euro area (15 countries)","Total","From 15 to 64 years","22.6",""
"2001","Euro area (13 countries)","Total","From 15 to 64 years","17.6",""
"2002","Euro area (13 countries)","Total","From 15 to 64 years","17.8",""
"2003","Euro area (13 countries)","Total","From 15 to 64 years","18.6",""
"2004","Euro area (13 countries)","Total","From 15 to 64 years","19.6",""
"2005","Euro area (13 countries)","Total","From 15 to 64 years","20.1",""
"2006","Euro area (13 countries)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (13 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (13 countries)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (13 countries)","Total","From 15 to 64 years","22.2",""
"2010","Euro area (13 countries)","Total","From 15 to 64 years","22.6",""
"2001","Euro area (12 countries)","Total","From 15 to 64 years","17.6",""
"2002","Euro area (12 countries)","Total","From 15 to 64 years","17.8",""
"2003","Euro area (12 countries)","Total","From 15 to 64 years","18.7",""
"2004","Euro area (12 countries)","Total","From 15 to 64 years","19.7",""
"2005","Euro area (12 countries)","Total","From 15 to 64 years","20.2",""
"2006","Euro area (12 countries)","Total","From 15 to 64 years","20.4",""
"2007","Euro area (12 countries)","Total","From 15 to 64 years","20.9",""
"2008","Euro area (12 countries)","Total","From 15 to 64 years","21.5",""
"2009","Euro area (12 countries)","Total","From 15 to 64 years","22.2",""
"2010","Euro area (12 countries)","Total","From 15 to 64 years","22.6",""
"2001","Euro area (11 countries)","Total","From 15 to 64 years","17.8",""
