#,JMÉNO,"CELÉ JMÉNO",DYNASTIE,STÁT,*,†,VĚK,VLÁDA*,VLÁDA†,VLÁDA,STOLETÍ
,,,,,,,ROKY,,,ROKY,
,"JULIUS CAESAR","Gaius Iulius Caesar",IULSKO-CLAUDIJSKÁ,,-100,-44,56,-60,-44,16,-1.st.
1,AUGUSTUS,"Gaius Iulius Caesar Octavianus, Imperator Caesar Divi filius Augustus Pater patriae,po zbožtění Divus Augustus Divi filius.",,PRINCIPÁT,-63,14,77,-31,14,45,1.st.
2,TIBERIUS,"rodným jménem Tiberius Claudius Nero, Tiberius Julius Caesar Augustus ",,,-42,37,79,14,37,23,1.st.
3,CALIGULA,"Gaius Caesar Augustus Germanicus",,,12,41,29,37,41,4,1.st.
4,CLAUDIUS,"občanským jménem Tiberius Claudius Drusus Nero Germanicus, Tiberius Claudius Caesar Augustus Germanicus Britanicus",,,-10,54,64,41,54,13,1.st.
5,NERO,"rodným jménem Lucius Domitius Ahenobarbus, Nero Claudius Caesar Augustus Germanicus",,,37,68,31,54,68,14,1.st.
6,GALBA,"Servius Sulpicius Galba",,,-3,69,72,68,69,1,1.st.
7,OTHO,"Marcus Salvius Otho",,,32,69,37,69,69,0,1.st.
8,VITELLIUS,"Aulus Vitellius Germanicus",,,15,69,54,69,69,0,1.st.
9,VESPASIANUS,"Titus Flavius Vespasianus",FLAVIOVSKÁ,,9,79,70,69,79,10,1.st.
10,TITUS,"Titus Flavius Vespasianus, jako císař Imperator Titus Caesar divi Vespasiani filius Vespasianus Augustus",,,39,81,42,79,81,2,1.st.
11,DOMITIANUS,"Titus Flavius Domitianus",,,51,96,45,81,96,15,1.st.
12,NERVA,"Marcus Cocceius Nerva","ADOPTIVNÍCH CÍSAŘŮ",,30,98,68,96,98,2,1.st.
13,TRAIANUS,"Marcus Ulpius Traianus","ADOPTIVNÍCH CÍSAŘŮ",,56,117,61,98,117,19,2.st.
14,HADRIANUS,"Publius Aelius Hadrianus","ADOPTIVNÍCH CÍSAŘŮ",,76,138,62,117,138,21,2.st.
15,"ANTONINUS PIUS","Titus Aurelius Fulvus Boionius Arrius Antoninus","ADOPTIVNÍCH CÍSAŘŮ",,86,161,75,138,161,23,2.st.
16,"MARCUS AURELIUS","Marcus Aurelius Antoninus Augustus","ADOPTIVNÍCH CÍSAŘŮ",,121,180,59,161,180,19,2.st.
17,"LUCIUS VERUS","rodným jménem Lucius Ceionius Commodus, Lucius Aurelius Verus","ADOPTIVNÍCH CÍSAŘŮ",,130,169,39,161,169,8,2.st.
18,COMMODUS,"Lucius Aurelius Commodus","ADOPTIVNÍCH CÍSAŘŮ",,161,192,31,180,192,12,2.st.
19,PERTINAX,"Publius Helvius Pertinax",,,126,193,67,193,193,0,2.st.
20,"DIDIUS JULIANUS","Marcus Didius Severus Iulianus",,,133,193,60,193,193,0,2.st.
21,"SEPTIMIUS SEVERUS","Lucius Septimius Severus, jako císař Lucius Septimius Severus Pertinax",SEVEROVSKÁ,,146,211,65,193,211,18,2.st.
,"PESCENNIUS NIGER","Gaius Pescennius Niger",,UZURPÁTOR,135,195,60,193,195,2,2.st.
,"CLODIUS ALBINUS","Decimus Clodius Albinus, jako císař Decimus Clodius Septimius Albinus",,UZURPÁTOR,145,197,52,195,197,2,2.st.
